Round,Seed,Model,Stage,Start_Time,End_Time,Duration_Sec,cpu_active_mean,ram_used_mean
7,8038,Ensemble_Stacking,Training,2025-12-03 01:16:56.881886,2025-12-03 03:02:46.746925,6349.865020036697,32.79528181080315,35993.83625511811
7,8038,Ensemble_Stacking,Inference,2025-12-03 03:02:46.746950,2025-12-03 03:02:58.121074,11.374115228652954,46.814628133333336,32354.894166666665
8,9789,Dummy,Training,2025-12-03 03:03:44.717183,2025-12-03 03:03:45.214399,0.497194766998291,,
8,9789,Dummy,Inference,2025-12-03 03:03:45.214412,2025-12-03 03:03:45.223143,0.0087249279022216,,
8,9789,KNN,Training,2025-12-03 03:03:48.807327,2025-12-03 03:03:50.013198,1.2058565616607666,7.745713,30399.44
8,9789,KNN,Inference,2025-12-03 03:03:50.013214,2025-12-03 04:28:14.331429,5064.318206071854,98.70130795351501,30438.360815560824
8,9789,DecisionTree,Training,2025-12-03 04:28:18.046131,2025-12-03 04:29:33.148870,75.10272264480591,1.6324435783783782,31424.01121621621
8,9789,DecisionTree,Inference,2025-12-03 04:29:33.148888,2025-12-03 04:29:33.440635,0.2917375564575195,,
8,9789,RandomForest,Training,2025-12-03 04:29:37.575693,2025-12-03 04:32:38.557594,180.98188400268555,75.16275813736264,69338.10934065936
8,9789,RandomForest,Inference,2025-12-03 04:32:38.557608,2025-12-03 04:32:40.885489,2.327873945236206,42.1449482,33682.56
8,9789,XGBoost,Training,2025-12-03 04:32:45.013567,2025-12-03 04:37:04.693779,259.6801974773407,87.50411395076922,30555.264230769233
8,9789,XGBoost,Inference,2025-12-03 04:37:04.693793,2025-12-03 04:37:05.923538,1.2297372817993164,,
8,9789,LightGBM,Training,2025-12-03 04:37:10.139324,2025-12-03 04:39:31.130173,140.99083399772644,85.28506888571428,30555.982285714283
8,9789,LightGBM,Inference,2025-12-03 04:39:31.130186,2025-12-03 04:39:35.232718,4.102522373199463,97.11613125,30556.125
8,9789,CatBoost,Training,2025-12-03 04:39:39.483623,2025-12-03 04:53:04.398643,804.9150059223175,2.9697180704714636,31502.304751861036
8,9789,CatBoost,Inference,2025-12-03 04:53:04.398656,2025-12-03 04:53:08.023058,3.624392509460449,13.46421845,30863.942499999997
8,9789,Ensemble_Stacking,Training,2025-12-03 04:53:12.240156,2025-12-03 06:42:44.650466,6572.410290956497,33.222738624193546,35802.59240566038
8,9789,Ensemble_Stacking,Inference,2025-12-03 06:42:44.650714,2025-12-03 06:42:55.174525,10.523801803588867,49.82580576,31634.916000000005
9,4070,Dummy,Training,2025-12-03 06:43:40.911511,2025-12-03 06:43:41.405334,0.4938035011291504,,
9,4070,Dummy,Inference,2025-12-03 06:43:41.405350,2025-12-03 06:43:41.414666,0.0093111991882324,,
9,4070,KNN,Training,2025-12-03 06:43:44.955701,2025-12-03 06:43:46.150257,1.1945405006408691,2.9676425,30352.53
9,4070,KNN,Inference,2025-12-03 06:43:46.150272,2025-12-03 08:07:53.850489,5047.700209617615,98.5135155469679,30570.502474185858
9,4070,DecisionTree,Training,2025-12-03 08:07:57.766376,2025-12-03 08:08:52.233682,54.46729159355164,1.6325223607142856,31545.400892857146
9,4070,DecisionTree,Inference,2025-12-03 08:08:52.233700,2025-12-03 08:08:52.444539,0.2108280658721923,,
9,4070,RandomForest,Training,2025-12-03 08:08:56.183498,2025-12-03 08:11:50.128727,173.94521570205688,74.9057884448276,69512.66103448276
9,4070,RandomForest,Inference,2025-12-03 08:11:50.128739,2025-12-03 08:11:52.429244,2.3004963397979736,39.881376599999996,33312.595
9,4070,XGBoost,Training,2025-12-03 08:11:56.544128,2025-12-03 08:16:32.243765,275.6996212005615,80.77458311666666,30691.01623188406
9,4070,XGBoost,Inference,2025-12-03 08:16:32.243778,2025-12-03 08:16:33.649135,1.405348777770996,,
