Iteracao,Seed,Modelo,F1_Score,Accuracy,Precision,Recall,ROC_AUC,Train_Time_sec,Infer_Model_ms_per_1k,Feat_Eng_ms_per_1k,Total_Latency_ms_per_1k
7,8038,LightGBM,0.7278850137571308,0.9871701504020003,0.5991849727158248,0.9269962388722028,0.9952214356384699,141.9705023765564,0.8337681074079728,134.6299143631973,135.46368247060525
7,8038,CatBoost,0.7247238013514962,0.9871456076485238,0.6003411938229701,0.9141164055523987,0.995106181135275,798.3474259376526,0.8565097616577925,134.6299143631973,135.4864241248551
7,8038,Ensemble_Stacking,0.6983286281759812,0.9879039286436974,0.6485834280808409,0.7563384473847985,0.9952343897877102,6349.865020036697,2.84849087827319,134.6299143631973,137.47840524147048
8,9789,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.497194766998291,0.0021850383122954385,134.6299143631973,134.63209940150958
8,9789,KNN,0.6307680842270716,0.9863514742681752,0.631739655570182,0.6297994967123954,0.9666596646789919,1.2058565616607666,1268.288910800578,134.6299143631973,1402.9188251637752
8,9789,DecisionTree,0.690453837982064,0.9874486355230812,0.6352137645748573,0.7562166842546744,0.9948160086175942,75.10272264480591,0.07306166253050803,134.6299143631973,134.7029760257278
8,9789,RandomForest,0.6817873237342161,0.9876742785933096,0.652916919495251,0.7133290039775956,0.9951542097376959,180.98188400268555,0.582984044514596,134.6299143631973,135.2128984077119
8,9789,XGBoost,0.7271262749114497,0.9871891835577576,0.6002201673271687,0.9220851259571935,0.99517469915317,259.6801974773407,0.30797080559317236,134.6299143631973,134.93788516879047
8,9789,LightGBM,0.7289294091425296,0.987207715840995,0.5996908944849988,0.9291744459777579,0.9952427655639668,140.99083399772644,1.0274203595662301,134.6299143631973,135.65733472276352
8,9789,CatBoost,0.7253243638049344,0.9872385195009707,0.6028511778357213,0.9102470438617853,0.9951309420775252,804.9150059223175,0.9076793047139239,134.6299143631973,135.5375936679112
8,9789,Ensemble_Stacking,0.6962681366026738,0.9879945865698045,0.6547738214404881,0.7433774386449117,0.9952623323419331,6572.410290956497,2.635541564302231,134.6299143631973,137.26545592749952
9,4070,Dummy,0.0,0.9814892542809575,0.0,0.0,0.5,0.4938035011291504,0.002331861900488757,134.6299143631973,134.6322462250978
9,4070,KNN,0.6353699570468169,0.9864576592424003,0.6333499132913009,0.6374029277268176,0.9680682478927204,1.1945405006408691,1264.127161920469,134.6299143631973,1398.7570762836663
9,4070,DecisionTree,0.702417144878783,0.9875715997267239,0.630781988734882,0.7924073923749222,0.9948004532945958,54.467291593551636,0.05279899231265674,134.6299143631973,134.68271335550995
